Row Labels,Acb,Act,At,Ba,Bg,Bl,Bp,Cw,Dr,Ep,Fd,Hm,Hw,La,Lt,Lw,Mb,Pa,Pl,Pw,Py,Qg,Ra,Sb,Se,Ss,Sw,Sx,Sxs,Yc
BGxh1/04,,,,,,,,,,,3,,,,,,,,,,3,,,,,,,,,
BGxh1/05,,,1,,,,,,,,3,,,,,,,,,,3,,,,,,,,,
BGxh1/06,,1,1,,,,,,,1,3,,,,,,,,,,3,,,,,,,,,
BGxh1/07,,1,1,,,,,,,1,3,,,,,,,,3,,3,,,,,,,3,,
BGxh2/03,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,
BGxh2/04,,,,,,,,,,,3,,,,,,,,,,3,,,,,,,,,
BGxh2/07,,1,1,,,,,,,1,3,,,,,,,,,,3,,,,,,,3,,
BGxw1/03,,,,,,,,,,,3,,,,,,,,,,3,,,,,,,,,
BGxw1/05,,,,,,,,,,,3,,,,,,,,,,3,,,,,,,,,
BGxw1/08,,,1,,,,,,,,3,,,,,,,,,,,,,,,,,,,
BWBSdk/101,1,,1,,,2,,,,1,,,,,,,,,3,,,,,1,,,3,,,
BWBSdk/102,,,1,,,1,,,,,,,,,,,,,3,,,,,1,,,1,,,
BWBSdk/103,,,1,,,2,,,,1,,,,,,,,,3,,,,,1,,,3,,,
BWBSdk/104,,,1,,,1,,,,,,,,,,,,,3,,,,,3,,,3,,,
BWBSdk/110,3,,1,,,1,,,,1,,,,,,,,,2,,,,,1,,,3,,,
BWBSdk/111,3,,1,,,1,,,,1,,,,,,,,,2,,,,,1,,,3,,,
BWBSmk/101,3,,1,,,,,,,1,,,,,,,,,3,,,,,1,,,3,,,
BWBSmk/102,,,1,,,,,,,,,,,,,,,,3,,,,,1,,,1,,,
BWBSmk/103,,,1,,,,,,,1,,,,,,,,,3,,,,,,,,3,,,
BWBSmk/104,,,1,,,,,,,,,,,,2,,,,3,,,,,3,,,3,,,
BWBSmk/110,3,,1,,,,,,,1,,,,,,,,,2,,,,,1,,,3,,,
BWBSmk/111,3,,1,,,,,,,1,,,,,,,,,2,,,,,1,,,3,,,
BWBSmw/101,3,,1,,,,,,,1,,,,,,,,,3,,,,,1,,,3,,,
BWBSmw/102,,,1,,,,,,,,,,,,,,,,3,,,,,,,,1,,,
BWBSmw/103,,,1,,,,,,,,,,,,,,,,3,,,,,,,,2,,,
BWBSmw/104,,,1,,,,,,,,,,,,,,,,3,,,,,1,,,1,,,
BWBSmw/110,1,,1,,,,,,,1,,,,,,,,,2,,,,,1,,,3,,,
BWBSmw/111,3,,,,,,,,,,,,,,,,,,2,,,,,,,,3,,,
BWBSmw/112,3,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
BWBSwk1/101,,,1,,,,,,,,,,,,,,,,3,,,,,,,,3,,,
BWBSwk1/102,,,,,,,,,,,,,,,,,,,3,,,,,,,,1,,,
BWBSwk1/103,,,1,,,,,,,,,,,,,,,,3,,,,,,,,2,,,
BWBSwk1/104,,,1,,,,,,,,,,,,,,,,3,,,,,1,,,1,,,
BWBSwk1/110,3,,,,,,,,,,,,,,,,,,2,,,,,,,,3,,,
BWBSwk1/111,,,,,,,,,,,,,,,2,,,,3,,,,,3,,,3,,,
BWBSwk2/101,3,,1,,,,,,,0,1,,,,,,,,3,,,,,,,,3,,,
BWBSwk2/102,,,,,,,,,,,,,,,,,,,3,,,,,,,,1,,,
BWBSwk2/103,,,1,,,,,,,,,,,,,,,,3,,,,,1,,,1,,,
BWBSwk2/104,,,1,,,,,,,,,,,,,,,,3,,,,,,,,2,,,
BWBSwk2/110,3,,1,,,,,,,1,,,,,,,,,2,,,,,,,,3,,,
BWBSwk2/111,3,,,,,,,,,,,,,,,,,,2,,,,,,,,3,,,
BWBSwk3/101,3,,1,,,2,,,,0,1,,,,,,,,3,,,,,2,,,3,,,
BWBSwk3/102,,,0,,,1,,,,,,,,,,,,,3,,,,,2,,,2,,,
BWBSwk3/103,,,0,,,1,,,,,,,,,,,,,3,,,,,3,,,2,,,
BWBSwk3/110,1,,,,,3,,,,,,,,,2,,,,1,,,,,2,,,,3,,
BWBSwk3/111,1,,,,,,,,,,,,,,2,,,,2,,,,,3,,,,,,
CDFmm/01,,,,,1,,,1,1,,3,,,,,,1,,2,,,1,3,,,,,,,
CDFmm/02,,,,,,,,,,,3,,,,,,,,2,,,1,3,,,,,,,
CDFmm/03,,,,,,,,,,,3,,,,,,,,2,,,1,3,,,,,,,
CDFmm/04,,1,,,1,,,1,1,,3,,,,,,1,,,,,1,,,,,,,,
CDFmm/05,,1,,,,,,1,3,,3,,,,,,1,,,,,1,3,,,,,,,
CDFmm/06,,3,,,3,,,3,3,,3,,,,,,1,,,,,1,3,,,,,,,
CDFmm/07,,3,,,3,,,3,3,,3,,,,,,1,,,,,1,3,,,,,,,
CDFmm/08,,3,,,2,,,2,3,,,,,,,,1,,,,,1,3,,,,,,,
CDFmm/09,,1,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,
CDFmm/10,,,,,,,,1,,,,,,,,,,,3,,,,,,,,,,,
